CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
15488,1,72,92,76.3,76.3,1,0.0,1,0.0,0.0
15070,1,36,372,106.2,106.2,1,0.0,1,0.0,0.0
18068,1,6,289,101.7,101.7,1,0.0,1,0.0,0.0
15510,1,2,330,250.0,250.0,1,0.0,1,0.0,0.0
13307,1,4,120,15.0,15.0,1,0.0,1,0.0,0.0
17443,1,504,219,534.2,534.2,1,0.0,1,0.0,0.0
17291,1,72,308,550.8,550.8,1,0.0,1,0.0,0.0
16093,1,20,106,17.0,17.0,1,0.0,1,0.0,0.0
12814,1,48,101,85.9,85.9,1,0.0,1,0.0,0.0
15657,1,24,22,30.0,30.0,1,0.0,1,0.0,0.0
16738,1,3,297,3.8,3.8,1,0.0,1,0.0,0.0
13185,1,12,267,71.4,71.4,1,0.0,1,0.0,0.0
13747,1,8,373,79.6,79.6,1,0.0,1,0.0,0.0
14424,1,48,17,322.1,322.1,1,0.0,1,0.0,0.0
12791,1,96,373,177.6,177.6,1,0.0,1,0.0,0.0
15524,1,4,24,440.0,440.0,1,0.0,1,0.0,0.0
13391,1,4,203,59.8,59.8,1,0.0,1,0.0,0.0
16323,1,50,196,207.5,207.5,1,0.0,1,0.0,0.0
14351,1,12,164,51.0,51.0,1,0.0,1,0.0,0.0
18184,1,60,15,49.8,49.8,1,0.0,1,0.0,0.0
13135,1,4300,196,3096.0,3096.0,1,0.0,1,0.0,0.0
17331,1,16,123,175.2,175.2,1,0.0,1,0.0,0.0
13366,1,144,50,56.2,56.2,1,0.0,1,0.0,0.0
17715,1,384,200,326.4,326.4,1,0.0,1,0.0,0.0
17986,1,10,56,20.8,20.8,1,0.0,1,0.0,0.0
15668,1,72,217,76.3,76.3,1,0.0,1,0.0,0.0
18113,1,72,368,76.3,76.3,1,0.0,1,0.0,0.0
15753,1,144,304,79.2,79.2,1,0.0,1,0.0,0.0
15313,1,25,110,52.0,52.0,1,0.0,1,0.0,0.0
17925,1,72,372,244.1,244.1,1,0.0,1,0.0,0.0
16257,1,1,176,21.9,21.9,1,0.0,1,0.0,0.0
17923,1,50,282,207.5,207.5,1,0.0,1,0.0,0.0
15195,1,1404,2,3861.0,3861.0,1,0.0,1,0.0,0.0
16148,1,72,296,76.3,76.3,1,0.0,1,0.0,0.0
16737,1,288,53,417.6,417.6,1,0.0,1,0.0,0.0
13841,1,100,252,85.0,85.0,1,0.0,1,0.0,0.0
13270,1,200,366,590.0,590.0,1,0.0,1,0.0,0.0
13099,1,288,99,207.4,207.4,1,0.0,1,0.0,0.0
15316,1,100,326,165.0,165.0,1,0.0,1,0.0,0.0
17347,1,216,86,229.0,229.0,1,0.0,1,0.0,0.0
17382,1,24,65,50.4,50.4,1,0.0,1,0.0,0.0
14090,1,72,324,76.3,76.3,1,0.0,1,0.0,0.0
16953,1,10,30,20.8,20.8,1,0.0,1,0.0,0.0
18133,1,1350,212,931.5,931.5,1,0.0,1,0.0,0.0
17752,1,192,359,80.6,80.6,1,0.0,1,0.0,0.0
15118,1,1440,134,244.8,244.8,1,0.0,1,0.0,0.0
16881,1,600,66,432.0,432.0,1,0.0,1,0.0,0.0
14705,1,100,198,179.0,179.0,1,0.0,1,0.0,0.0
17763,1,12,263,15.0,15.0,1,0.0,1,0.0,0.0
13120,1,12,238,30.6,30.6,1,0.0,1,0.0,0.0
12603,1,56,21,613.2,613.2,1,0.0,1,0.0,0.0
17102,1,2,261,25.5,25.5,1,0.0,1,0.0,0.0
16078,1,16,283,79.2,79.2,1,0.0,1,0.0,0.0
15940,1,4,311,35.8,35.8,1,0.0,1,0.0,0.0
18174,1,50,7,104.0,104.0,1,0.0,1,0.0,0.0
17956,1,1,249,12.8,12.8,1,0.0,1,0.0,0.0
13017,1,48,7,204.0,204.0,1,0.0,1,0.0,0.0
15389,1,400,172,500.0,500.0,1,0.0,1,0.0,0.0
18233,1,4,325,440.0,440.0,1,0.0,1,0.0,0.0
13188,1,24,11,99.6,99.6,1,0.0,1,0.0,0.0
13302,1,5,155,63.8,63.8,1,0.0,1,0.0,0.0
16144,1,16,246,175.2,175.2,1,0.0,1,0.0,0.0
13703,1,10,318,99.5,99.5,1,0.0,1,0.0,0.0
14576,1,12,372,35.4,35.4,1,0.0,1,0.0,0.0
15562,1,39,351,134.6,134.6,1,0.0,1,0.0,0.0
16990,1,100,218,179.0,179.0,1,0.0,1,0.0,0.0
16454,1,2,64,5.9,5.9,1,0.0,1,0.0,0.0
16765,1,4,294,34.0,34.0,1,0.0,1,0.0,0.0
17948,1,144,147,358.6,358.6,1,0.0,1,0.0,0.0
14199,2,28,218,185.4,92.7,2,0.0,2,0.0,0.0
17408,2,3,163,32.6,16.3,2,0.0,2,0.0,0.0
13298,2,96,1,360.0,180.0,2,0.0,2,0.0,0.0
15423,2,101,38,43.5,21.8,2,0.0,2,0.0,0.0
15269,2,26,23,408.8,204.4,2,0.0,2,0.0,0.0
16429,2,9,106,284.6,142.3,2,0.0,2,0.0,0.0
15691,2,72,252,136.8,68.4,2,0.0,2,0.0,0.0
16976,2,88,267,251.5,125.8,2,0.0,2,0.0,0.0
15442,2,120,248,594.0,297.0,2,0.0,2,0.0,0.0
16659,2,72,189,39.1,19.6,2,0.0,2,0.0,0.0
17186,2,200,46,144.0,72.0,1,13.0,2,0.0,0.0
17941,2,252,130,304.6,152.3,2,0.0,2,0.0,0.0
13068,2,200,10,344.0,172.0,1,309.0,2,0.0,0.0
16468,2,31,74,74.9,37.5,2,0.0,2,0.0,0.0
13228,2,200,81,358.0,179.0,2,0.0,2,0.0,0.0
17029,2,400,110,716.0,358.0,1,126.0,2,0.0,0.0
